Package                                  Current   Wanted   Latest  Location
react-redux-form                         MISSING  1.16.14  1.16.14  architectui-react-pro
react-responsive-tabs                    MISSING    3.3.0    3.3.0  architectui-react-pro
react-router-dom                         MISSING    5.1.0    5.1.0  architectui-react-pro
react-scripts                            MISSING    2.1.8    3.1.2  architectui-react-pro
react-scroll                             MISSING   1.7.14   1.7.14  architectui-react-pro
react-scrollspy                          MISSING    3.4.0    3.4.0  architectui-react-pro
react-select                             MISSING    2.4.4    3.0.5  architectui-react-pro
react-simple-maps                        MISSING   0.12.1   0.12.1  architectui-react-pro
react-sizeme                             MISSING    2.6.7    2.6.7  architectui-react-pro
react-slick                              MISSING   0.23.2   0.25.2  architectui-react-pro
react-sortable-tree                      MISSING    2.6.2    2.6.2  architectui-react-pro
react-sortable-tree-theme-file-explorer  MISSING    2.0.0    2.0.0  architectui-react-pro
react-sparklines                         MISSING    1.7.0    1.7.0  architectui-react-pro
react-sticky-el                          MISSING   1.0.20   1.0.20  architectui-react-pro
react-stickynode                         MISSING    2.1.1    2.1.1  architectui-react-pro
react-svg-gauge                          MISSING   1.0.10   1.0.10  architectui-react-pro
react-sweet-progress                     MISSING    1.1.2    1.1.2  architectui-react-pro
react-switch                             MISSING    4.1.0    5.0.1  architectui-react-pro
react-syntax-highlighter                 MISSING   10.3.5   11.0.2  architectui-react-pro
react-table                              MISSING   6.10.3   6.10.3  architectui-react-pro
react-textarea-autosize                  MISSING    7.1.0    7.1.0  architectui-react-pro
react-toastify                           MISSING    5.4.0    5.4.0  architectui-react-pro
react-transition-group                   MISSING    3.0.0    4.3.0  architectui-react-pro
react-vertical-timeline-component        MISSING    2.5.0    2.5.0  architectui-react-pro
react-visibility-sensor                  MISSING    5.1.1    5.1.1  architectui-react-pro
react-widgets                            MISSING   4.4.11   4.4.11  architectui-react-pro
react-widgets-globalize                  MISSING   5.0.20   5.0.20  architectui-react-pro
react-widgets-moment                     MISSING   4.0.27   4.0.27  architectui-react-pro
react-widgets-simple-number              MISSING   4.1.23   4.1.23  architectui-react-pro
reactour                                 MISSING   1.15.2   1.15.2  architectui-react-pro
reactstrap                               MISSING    8.0.1    8.0.1  architectui-react-pro
recharts                                 MISSING    1.7.1    1.7.1  architectui-react-pro
redux                                    MISSING    4.0.4    4.0.4  architectui-react-pro
redux-form                               MISSING    8.2.6    8.2.6  architectui-react-pro
redux-logger                             MISSING    3.0.6    3.0.6  architectui-react-pro
redux-thunk                              MISSING    2.3.0    2.3.0  architectui-react-pro
rodal                                    MISSING    1.6.3    1.6.3  architectui-react-pro
slick-carousel                           MISSING    1.8.1    1.8.1  architectui-react-pro
styled-components                        MISSING    4.4.0    4.4.0  architectui-react-pro
sweetalert                               MISSING    2.1.2    2.1.2  architectui-react-pro
sweetalert-react                         MISSING   0.4.11   0.4.11  architectui-react-pro
window-resize-listener-react             MISSING    1.1.0    1.1.0  architectui-react-pro
